url,player_number,weight,years_in_league,player_id,position,age,height
http://stats.nba.com/player/#!/,3,191,2,203504,G,23,73
http://stats.nba.com/player/#!/,5,210,2,203506,G,24,76
http://stats.nba.com/player/#!/,34,222,2,203507,F,21,83
http://stats.nba.com/player/#!/,10,208,2,203508,G-F,22,79
http://stats.nba.com/player/#!/,92,220,1,203512,C,23,84
http://stats.nba.com/player/#!/,,,2,203515,,25,
http://stats.nba.com/player/#!/,4,210,1,203516,F,25,79
http://stats.nba.com/player/#!/,8,198,2,203521,G,25,76
http://stats.nba.com/player/#!/,44,225,2,203524,F,25,79
http://stats.nba.com/player/#!/,4,230,2,203527,F,25,83
http://stats.nba.com/player/#!/,77,220,1,203530,C-F,24,83
http://stats.nba.com/player/#!/,21,175,2,203546,G,25,75
http://stats.nba.com/player/#!/,30,185,2,203552,G,25,74
http://stats.nba.com/player/#!/,30,205,2,203584,G,24,76
http://stats.nba.com/player/#!/,11,195,15,2037,G,36,77
http://stats.nba.com/player/#!/,19,230,1,203798,F-G,23,78
http://stats.nba.com/player/#!/,,,1,203893,,25,
http://stats.nba.com/player/#!/,13,175,1,203894,G,24,73
http://stats.nba.com/player/#!/,8,189,1,203897,G,21,77
http://stats.nba.com/player/#!/,11,194,1,203898,G,21,75
http://stats.nba.com/player/#!/,22,190,1,203900,G,24,75
http://stats.nba.com/player/#!/,4,185,1,203901,G,22,76
http://stats.nba.com/player/#!/,6,194,1,203903,G,23,77
http://stats.nba.com/player/#!/,11,200,1,203906,F,23,78
http://stats.nba.com/player/#!/,32,205,1,203909,G-F,23,78
http://stats.nba.com/player/#!/,30,195,1,203912,G,25,77
http://stats.nba.com/player/#!/,14,210,1,203914,G,21,76
http://stats.nba.com/player/#!/,8,200,1,203915,G,23,78
http://stats.nba.com/player/#!/,11,205,1,203917,G,22,78
http://stats.nba.com/player/#!/,5,206,1,203918,G,23,80
http://stats.nba.com/player/#!/,3,209,1,203919,G,21,77
http://stats.nba.com/player/#!/,11,210,1,203921,F,25,80
http://stats.nba.com/player/#!/,40,222,1,203922,G-F,22,79
http://stats.nba.com/player/#!/,13,215,1,203923,G-F,20,78
http://stats.nba.com/player/#!/,39,210,1,203924,F,22,80
http://stats.nba.com/player/#!/,,,1,203925,,24,
http://stats.nba.com/player/#!/,3,225,1,203926,F,24,80
http://stats.nba.com/player/#!/,,,1,203928,,25,
http://stats.nba.com/player/#!/,6,219,1,203930,G,26,76
http://stats.nba.com/player/#!/,0,220,1,203932,F,20,81
http://stats.nba.com/player/#!/,12,230,1,203933,F,22,80
http://stats.nba.com/player/#!/,36,220,1,203935,G,22,76
http://stats.nba.com/player/#!/,1,230,1,203937,F,22,81
http://stats.nba.com/player/#!/,7,240,1,203939,F-C,24,83
http://stats.nba.com/player/#!/,33,237,1,203940,F,25,82
http://stats.nba.com/player/#!/,21,240,1,203943,F,20,81
http://stats.nba.com/player/#!/,30,250,1,203944,F,21,81
http://stats.nba.com/player/#!/,41,250,1,203946,F-C,25,81
http://stats.nba.com/player/#!/,77,257,1,203948,F-C,22,81
http://stats.nba.com/player/#!/,20,240,1,203949,F,23,81
http://stats.nba.com/player/#!/,,,1,203950,,22,
http://stats.nba.com/player/#!/,22,199,1,203952,G-F,21,80
http://stats.nba.com/player/#!/,12,250,1,203953,F,21,80
http://stats.nba.com/player/#!/,8,165,1,203955,G,23,73
http://stats.nba.com/player/#!/,33,255,1,203956,F,23,82
http://stats.nba.com/player/#!/,11,190,1,203957,G,20,78
http://stats.nba.com/player/#!/,9,214,1,203960,G-F,23,81
http://stats.nba.com/player/#!/,25,238,1,203961,F-C,24,82
http://stats.nba.com/player/#!/,42,250,1,203963,F-C,25,83
http://stats.nba.com/player/#!/,15,240,1,203991,F-C,21,82
http://stats.nba.com/player/#!/,23,280,1,203994,C,21,84
http://stats.nba.com/player/#!/,20,205,1,203998,F,20,81
http://stats.nba.com/player/#!/,10,230,1,204014,F,29,81
http://stats.nba.com/player/#!/,8,186,1,204020,G,23,76
http://stats.nba.com/player/#!/,2,170,1,204025,G,25,73
http://stats.nba.com/player/#!/,28,250,1,204028,C-F,24,81
http://stats.nba.com/player/#!/,2,200,1,204038,G,24,74
http://stats.nba.com/player/#!/,2,226,1,204060,F,28,80
http://stats.nba.com/player/#!/,4,240,14,2199,C,33,85
http://stats.nba.com/player/#!/,16,250,14,2200,C-F,35,84
http://stats.nba.com/player/#!/,2,240,14,2207,F-G,34,79
http://stats.nba.com/player/#!/,24,233,14,2210,F,35,79
http://stats.nba.com/player/#!/,50,260,14,2216,F,34,81
http://stats.nba.com/player/#!/,9,185,14,2225,G,33,74
http://stats.nba.com/player/#!/,7,245,13,2365,F-C,37,82
http://stats.nba.com/player/#!/,34,230,13,2399,G-F,35,81
http://stats.nba.com/player/#!/,90,250,13,2400,F,34,82
http://stats.nba.com/player/#!/,42,250,13,2403,F-C,33,83
http://stats.nba.com/player/#!/,5,245,13,2405,F-C,33,82
http://stats.nba.com/player/#!/,31,228,13,2406,F,36,79
http://stats.nba.com/player/#!/,12,212,13,2419,F,36,81
http://stats.nba.com/player/#!/,22,226,12,2440,F,36,79
http://stats.nba.com/player/#!/,,,12,2446,,36,
http://stats.nba.com/player/#!/,4,240,8,2449,F,36,81
http://stats.nba.com/player/#!/,23,250,12,2544,F,31,80
http://stats.nba.com/player/#!/,7,240,12,2546,F,31,80
http://stats.nba.com/player/#!/,1,235,12,2547,F,32,83
http://stats.nba.com/player/#!/,3,220,12,2548,G,34,76
http://stats.nba.com/player/#!/,35,265,12,2549,C,34,84
http://stats.nba.com/player/#!/,12,190,12,2550,G,35,76
http://stats.nba.com/player/#!/,4,255,11,2555,F,35,82
http://stats.nba.com/player/#!/,30,250,12,2561,F,35,81
http://stats.nba.com/player/#!/,30,225,11,2563,G-F,35,78
http://stats.nba.com/player/#!/,33,250,12,2564,C-F,34,80
http://stats.nba.com/player/#!/,5,270,12,2570,C,31,82
http://stats.nba.com/player/#!/,19,194,12,2571,G,33,75
http://stats.nba.com/player/#!/,22,172,12,2581,G,36,75
http://stats.nba.com/player/#!/,27,275,12,2585,C,32,83
http://stats.nba.com/player/#!/,15,235,11,2588,C-F,36,82
http://stats.nba.com/player/#!/,52,198,12,2590,G,33,73
http://stats.nba.com/player/#!/,1,218,12,2592,G-F,35,80
http://stats.nba.com/player/#!/,26,212,12,2594,G,35,79
http://stats.nba.com/player/#!/,40,235,12,2617,F,35,80
http://stats.nba.com/player/#!/,12,265,11,2730,C,30,83
http://stats.nba.com/player/#!/,34,192,10,2733,G,30,79
http://stats.nba.com/player/#!/,34,185,11,2734,G,33,75
http://stats.nba.com/player/#!/,9,220,11,2736,F,31,81
http://stats.nba.com/player/#!/,9,215,11,2738,G-F,32,78
http://stats.nba.com/player/#!/,43,235,11,2743,F,31,81
http://stats.nba.com/player/#!/,25,289,11,2744,C,31,82
http://stats.nba.com/player/#!/,5,225,11,2746,F,30,81
http://stats.nba.com/player/#!/,5,225,11,2747,G-F,30,78
http://stats.nba.com/player/#!/,11,205,11,2748,F-G,30,81
http://stats.nba.com/player/#!/,1,190,11,2749,G,34,72
http://stats.nba.com/player/#!/,9,213,11,2754,G-F,34,76
http://stats.nba.com/player/#!/,23,199,11,2755,G,33,79
http://stats.nba.com/player/#!/,,,11,2757,,33,
http://stats.nba.com/player/#!/,18,273,11,2760,F,33,83
http://stats.nba.com/player/#!/,1,215,11,2772,F,30,80
http://stats.nba.com/player/#!/,21,240,20,708,F,39,83
http://stats.nba.com/player/#!/,24,212,19,977,F-G,37,78
